Period,Industry,Effect,Other mean (%),Effect mean (%),Difference (%),t-stat,p-value
1963-1977,Toys,Mar,0.008,0.122,0.114,1.2393,0.2152
1963-1977,Rtail,Mar,0.0236,0.0589,0.0352,0.7638,0.445
1963-1977,Oil,Apr,0.0342,0.0458,0.0116,0.2661,0.7902
1963-1977,Banks,Apr,0.0226,-0.0343,-0.0569,-1.1828,0.2369
1963-1977,Txtls,Apr,0.026,0.0617,0.0357,0.7645,0.4445
1963-1977,Toys,Apr,0.0147,0.0508,0.0361,0.4311,0.6664
1963-1977,Rtail,Apr,0.0253,0.0421,0.0168,0.3482,0.7277
1963-1977,Oil,May,0.0354,0.0321,-0.0033,-0.0586,0.9533
1963-1977,Banks,May,0.0304,-0.1219,-0.1523,-2.797,0.0052
1963-1977,Txtls,May,0.0422,-0.122,-0.1642,-2.9775,0.0029
1963-1977,Toys,May,0.0299,-0.1223,-0.1522,-1.4862,0.1372
1963-1977,Rtail,May,0.0333,-0.0497,-0.0831,-1.48,0.1389
1963-1977,Oil,Jun,0.0359,0.0262,-0.0097,-0.1988,0.8424
1963-1977,Banks,Jun,0.0182,0.0154,-0.0028,-0.057,0.9546
1963-1977,Txtls,Jun,0.0396,-0.0915,-0.1311,-2.4764,0.0133
1963-1977,Toys,Jun,0.0319,-0.1428,-0.1747,-2.0455,0.0408
1963-1977,Rtail,Jun,0.031,-0.0229,-0.0539,-1.1229,0.2615
1963-1977,Oil,Jul,0.0344,0.0428,0.0084,0.1648,0.8691
1963-1977,Banks,Jul,0.0167,0.0318,0.0151,0.2626,0.7928
1963-1977,Txtls,Jul,0.0293,0.0246,-0.0046,-0.0916,0.927
1963-1977,Toys,Jul,0.0222,-0.0322,-0.0544,-0.6379,0.5236
1963-1977,Rtail,Jul,0.0349,-0.0625,-0.0975,-1.9146,0.0555
1963-1977,Oil,Aug,0.0385,0.0014,-0.0371,-0.7513,0.4524
1963-1977,Banks,Aug,0.0162,0.0366,0.0204,0.3994,0.6896
1963-1977,Txtls,Aug,0.0305,0.0124,-0.0181,-0.3512,0.7254
1963-1977,Toys,Aug,0.012,0.0739,0.0619,0.725,0.4684
1963-1977,Rtail,Aug,0.0246,0.0472,0.0226,0.4283,0.6685
1963-1977,Oil,Sep,0.0345,0.042,0.0075,0.1535,0.878
1963-1977,Banks,Sep,0.0224,-0.0294,-0.0518,-0.9191,0.3581
1963-1977,Txtls,Sep,0.0269,0.0501,0.0232,0.5062,0.6127
1963-1977,Toys,Sep,0.0188,0.0042,-0.0146,-0.1701,0.865
1963-1977,Rtail,Sep,0.0267,0.0257,-0.001,-0.0191,0.9847
1963-1977,Oil,Oct,0.0288,0.099,0.0702,1.3749,0.1692
